price,macd_12_26_9,macdsig_12_26_9,macdhist_12_26_9,macd_6_13_4,macdsig_6_13_4,macdhist_6_13_4
2115,,,,,,
2103.75,,,,,,
2032.2,,,,,,
1998.35,,,,,,
2015.5,,,,,,
1982,,,,,,
1952.05,,,,,,
1913.6,,,,,,
1954.55,,,,,,
1931.1,,,,,,
1932.9,,,,,,
1934.05,,,,,,
1926.65,,,,-41.236304959,,
1925.3,,,,-37.8369211246,,
1909,,,,-36.5398730168,,
1931.85,,,,-30.9900528276,-36.650787982,5.6607351544
1955,,,,-23.0201607597,-31.1985370931,8.1783763334
2008.3,,,,-9.5867508912,-22.5538226123,12.9670717211
2057.6,,,,6.0719388606,-11.1035180231,17.1754568838
2059.85,,,,15.7324861021,-0.369116373,16.1016024752
2052.25,,,,19.9192502866,7.7462302908,12.1730199958
2079.45,,,,25.5552589593,14.8698417582,10.6854172011
2077.95,,,,27.7485190055,20.0213126571,7.7272063483
2055.1,,,,24.6944529519,21.890568775,2.8038841769
2055.15,,,,21.8238225945,21.8638703028,-0.0400477083
2070,36.7467122195,,,21.2969541065,21.6371038243,-0.3401497178
2063.35,36.0594906595,,,19.15511813,20.6443095466,-1.4891914166
2082.05,36.6018727347,,,19.7333769961,20.2799365264,-0.5465595303
2098.25,37.9020082894,,,21.5962547919,20.8064638326,0.7897909593
2089.95,37.8265930313,,,20.6695981448,20.7517175575,-0.0821194127
2068.8,35.6492552305,,,16.2371717018,18.9458992152,-2.7087275134
2061.9,32.9866771217,,,11.8749852387,16.1175336246,-4.2425483859
2055.55,30.018142397,,,7.8124227006,12.795489255,-4.9830665544
2043.2,26.3650950497,34.4617607482,-8.0966656984,3.2419794037,8.9740853145,-5.7321059108
2058.4,24.4150996061,32.4524285198,-8.0373289136,2.4828516953,6.3775918668,-3.8947401715
2057.1,22.5053869412,30.463020204,-7.9576332629,1.7310244576,4.5189649031,-2.7879404455
2055.3,20.6091119251,28.4922385482,-7.8831266232,0.9429251506,3.0885490021,-2.1456238515
2060.9,19.3352883436,26.6608485073,-7.3255601637,1.22192863,2.3419008533,-1.1199722233
2103.25,21.4952808271,25.6277349713,-4.1324541442,7.3928724488,4.3622894915,3.0305829573
2084.4,21.4389184614,24.7899716693,-3.3510532079,8.1763942787,5.8879314063,2.2884628723
2093.25,21.8564246597,24.2032622674,-2.3468376077,9.586656857,7.3674215866,2.2192352704
2128.85,24.7743406309,24.3174779401,0.4568626908,15.1445050945,10.4782549898,4.6662501047
2148.15,28.317729604,25.1175282728,3.2002013311,20.6862691136,14.5614606393,6.1248084743
2160.1,31.7244562398,26.4389138662,5.2855423736,24.9419912023,18.7136728645,6.2283183378
2168.95,34.7379947011,28.0987300332,6.6392646679,27.7937805953,22.3457159568,5.4480646385
2160.8,36.0530120744,29.6895864414,6.363425633,27.2410483626,24.3038489191,2.9371994435
2167.4,37.1989315313,31.1914554594,6.0074760719,26.7336184911,25.2757567479,1.4578617432
2154,36.603866359,32.2739376393,4.3299287197,23.4174933252,24.5324513788,-1.1149580536
2146.35,35.1102527185,32.8412006552,2.2690520633,19.3385394144,22.4548865931,-3.1163471786
2128.95,32.1518915731,32.7033388388,-0.5514472656,13.5661782685,18.8994032632,-5.3332249948
2125.55,29.196458863,32.0019628436,-2.8055039806,8.99264376,14.9366994619,-5.9440557019
2098.5,24.3903909691,30.4796484687,-6.0892574996,1.9611881932,9.7464949544,-7.7853067613
2109.15,21.1965726367,28.6230333023,-7.4264606656,-0.9024045291,5.486935161,-6.3893396901
2096.6,17.4515973319,26.3887461082,-8.9371487763,-4.4116488681,1.5275015494,-5.9391504175
2061.6,11.5265984769,23.416316582,-11.8897181051,-11.3800985096,-3.6355384742,-7.7445600354
2026.4,3.9451709012,19.5220874458,-15.5769165446,-20.2105738611,-10.265552629,-9.9450212321
2015.4,-2.9171460985,15.0342407369,-17.9513868355,-26.363494531,-16.7047293898,-9.6587651412
2029.45,-7.1395637354,10.5994798425,-17.7390435779,-27.0473849603,-20.841791618,-6.2055933423
1983.85,-14.0039699895,5.6787898761,-19.6827598656,-32.8764042043,-25.6556366525,-7.2207675518
1993.7,-18.4367216702,0.8556875668,-19.292409237,-33.6961545903,-28.8718438276,-4.8243107627
2035.65,-18.3531314295,-2.9860762324,-15.367055197,-26.8298321902,-28.0550391727,1.2252069824
2067.65,-15.5257814525,-5.4940172765,-10.0317641761,-16.9594375702,-23.6167985317,6.6573609615
2063.4,-13.4727205708,-7.0897579353,-6.3829626355,-10.8312597387,-18.5025830145,7.6713232758
2052.55,-12.5761888764,-8.1870441235,-4.3891447528,-8.1872218934,-14.3764385661,6.1892166726
2069.3,-10.3942772767,-8.6284907542,-1.7657865226,-3.8413937476,-10.1624206387,6.3210268911
2052.85,-9.8785997867,-8.8785125607,-1.000087226,-3.3738910563,-7.4470088057,4.0731177494
2031.2,-11.0890678524,-9.320623619,-1.7684442334,-6.0428122227,-6.8853301725,0.8425179498
2008.2,-13.7458269598,-10.2056642872,-3.5401626726,-10.7159144787,-8.417563895,-2.2983505837
2024.95,-14.3345034461,-11.031432119,-3.3030713271,-10.7467560853,-9.3492407711,-1.3975153142
2025.45,-14.5924750128,-11.7436406977,-2.8488343151,-10.2555670246,-9.7117712725,-0.5437957521
1956.3,-20.1445327929,-13.4238191168,-6.7207136762,-19.4148158844,-13.5929891173,-5.8218267671
1927.8,-26.5383725603,-16.0467298055,-10.4916427548,-28.3015063747,-19.4763960202,-8.8251103545
1909.4,-32.7131658532,-19.380017015,-13.3331488382,-35.2157451902,-25.7721356882,-9.443609502
1929.7,-35.5587940359,-22.6157724192,-12.9430216167,-35.1115752736,-29.5079115224,-5.6036637512
1948.55,-35.87934268,-25.2684864714,-10.6108562087,-30.9218151094,-30.0734729572,-0.8483421522
1967.35,-34.2218882823,-27.0591668336,-7.1627214488,-24.408826637,-27.8076144291,3.3987877921
1970.95,-32.2461403835,-28.0965615435,-4.14957884,-18.9107183218,-24.2488559862,5.3381376644
1957.1,-31.4355556721,-28.7643603693,-2.6711953028,-16.7512349321,-21.2498075646,4.4985726325
1935.4,-32.1732963606,-29.4461475675,-2.7271487931,-17.8453783697,-19.8880358866,2.0426575169
1941.3,-31.9139958019,-29.9397172144,-1.9742785875,-16.9440221735,-18.7104304014,1.7664082279
1902.5,-34.4423045288,-30.8402346773,-3.6020698516,-21.2434358423,-19.7236325777,-1.5198032645
1916.75,-34.8939161579,-31.6509709734,-3.2429451845,-20.9729366255,-20.2233541968,-0.7495824287
1920.7,-34.5349917515,-32.227775129,-2.3072166225,-19.3870009162,-19.8888128846,0.5018119684
1942.6,-32.1132134644,-32.2048627961,0.0916493317,-14.4961422813,-17.7317446433,3.235602362
1963.3,-28.1985642256,-31.403603082,3.2050388564,-7.9529169015,-13.8202135466,5.8672966451
1977.5,-23.6774166542,-29.8583657964,6.1809491422,-1.5936802648,-8.9296002339,7.335919969
2000.75,-18.0106780538,-27.4888282479,9.4781501941,5.6862066664,-3.0832774738,8.7694841402
1994.3,-13.8802056112,-24.7671037206,10.8868981093,8.9897616583,1.7459381791,7.2438234792
1985.95,-11.151998363,-22.0440826491,10.8920842861,9.4525601571,4.8285869703,4.6239731868
1993.15,-8.3130667768,-19.2978794746,10.9848126978,10.3786588234,7.0486157115,3.3300431119
1988.3,-6.3809914113,-16.714501862,10.3335104506,9.8291821365,8.1608422815,1.668339855
2012.6,-2.8560777613,-13.9428170418,11.0867392805,12.5630053023,9.9217074898,2.6412978124
1990.8,-1.800876722,-11.5144289779,9.7135522559,10.6097131465,10.1969097525,0.412803394
1982.75,-1.5957946915,-9.5307021206,7.9349074291,7.8307704737,9.250454041,-1.4196835673
1990.85,-0.7707783464,-7.7787173657,7.0079390194,6.9668965731,8.3370310538,-1.3701344807
1992.4,0.0080325035,-6.2213673919,6.2293998954,6.3750596309,7.5522424847,-1.1771828537
2013.9,2.3332201209,-4.5104498893,6.8436700102,8.8239325386,8.0609185062,0.7630140323
2028.6,5.3010084807,-2.5481582153,7.849166696,12.0630819702,9.6617838918,2.4012980784
2043.85,8.7823126546,-0.2820640413,9.0643766959,15.7324354194,12.0900445029,3.6423909165
2074.7,13.8707154956,2.548491866,11.3222236295,21.7439809834,15.9516190951,5.7923618883
2076.4,17.8348976018,5.6057730132,12.2291245886,24.7798667988,19.4829181766,5.2969486222
2072.4,20.418403268,8.5682990642,11.8501042038,25.055720694,21.7120391835,3.3436815104
2087.55,23.4183760461,11.5383144605,11.8800615855,26.3662140709,23.5737091385,2.7925049324
2087.55,25.5019059885,14.3310327661,11.1708732224,26.0923849518,24.5811794638,1.511205488
2064.65,25.0169006045,16.4682063338,8.5486942707,21.5883105951,23.3840319163,-1.7957213212
2094.25,26.7130713082,18.5171793287,8.1958919795,22.1781299443,22.9016711275,-0.7235411832
2092.35,27.5859905625,20.3309415754,7.2550489871,21.3625854665,22.2860368631,-0.9234513966
2092.8,27.9914288323,21.8630390268,6.1283898055,20.0556159712,21.3938685064,-1.3382525351
2098.15,28.4168698832,23.1738051981,5.2430646851,19.20111971,20.5167689878,-1.3156492778
2112.4,29.5631058075,24.45166532,5.1114404876,19.9299538476,20.2820429317,-0.3520890841
2103.2,29.3903492719,25.4394021103,3.9509471615,18.2484256116,19.4685960037,-1.2201703921
2090.6,27.9149377494,25.9345092382,1.9804285112,14.6740848298,17.5507915341,-2.8767067043
2102.75,27.4101003713,26.2296274648,1.1804729065,13.6224849704,15.9794689086,-2.3569839382
2112.35,27.4680186607,26.477305704,0.9907129567,13.7940570985,15.1053041846,-1.3112470861
2128.65,28.5006552844,26.8819756201,1.6186796643,15.6646499484,15.3290424901,0.3356074583
2123.7,28.5900354849,27.223587593,1.3664478919,15.4633945525,15.3827833151,0.0806112374
2123.4,28.3103187134,27.4409338171,0.8693848963,14.666160859,15.0961343326,-0.4299734736
2144.35,29.4397677533,27.8407006043,1.5990671489,16.5722969299,15.6865993716,0.8856975584
2170,32.035321642,28.6796248119,3.3556968301,20.7271844456,17.7028334012,3.0243510444
2187.35,35.0878459521,29.9612690399,5.1265769122,24.9035570289,20.5831228523,4.3204341766
2183.85,36.8003610559,31.3290874431,5.4712736128,25.9440481195,22.7274929592,3.2165551603
2194.35,38.5603046723,32.775330889,5.7849737833,27.0221427415,24.4453528721,2.5767898694
2199.8,39.9345020393,34.207165119,5.7273369203,27.3578275002,25.6103427234,1.7474847769
2169.85,38.1668845685,34.9991090089,3.1677755596,22.1681313321,24.2334581669,-2.0653268347
2191.65,38.0860801733,35.6165032418,2.4695769315,21.2002303585,23.0201670435,-1.819936685
2220.6,39.8981441921,36.4728314318,3.4253127602,23.8780366865,23.3633149007,0.5147217858
2211.9,40.169155669,37.2120962793,2.9570593898,23.3000390634,23.3380045658,-0.0379655024
2230.65,41.4194449382,38.0535660111,3.3658789272,24.6737123936,23.8722876969,0.8014246967
2210.75,40.339535449,38.5107598987,1.8287755503,21.6647894369,22.9892883929,-1.324498956
2228.2,40.4257655022,38.8937610194,1.5320044828,21.4311717312,22.3660417282,-0.934869997
2179.4,36.1397546834,38.3429597522,-2.2032050688,13.4419702081,18.7964131202,-5.3544429121
2196.2,33.7100908831,37.4163859784,-3.7062950952,10.4019704916,15.4386360688,-5.0366655771
2218.85,33.2291851606,36.5789458148,-3.3497606542,11.351890237,13.803937736,-2.4520474991
2220.8,32.6292825557,35.789013163,-3.1597306073,11.7487027244,12.9818437314,-1.233141007
2204.05,30.4512473802,34.7214600064,-4.2702126262,9.1192531158,11.4368074851,-2.3175543694
2185.1,26.8861058908,33.1543891833,-6.2682832925,4.4300287384,8.6340959864,-4.2040672481
2212.55,25.9762530899,31.7187619646,-5.7425088748,5.2996861098,7.3003320358,-2.000645926
2234,26.6784908886,30.7107077494,-4.0322168608,8.680101394,7.8522397791,0.8278616149
2237.3,27.1878966753,30.0061455346,-2.8182488593,10.8668821233,9.0580967168,1.8087854066
2241.9,27.6441217597,29.5337407796,-1.8896190199,12.4193241159,10.4025876764,2.0167364394
2230.5,26.7771286291,28.9824183495,-2.2052897204,11.2343161882,10.7352790811,0.4990371071
2265.6,28.5927080439,28.9044762884,-0.3117682445,15.0645433268,12.4669847794,2.5975585474
2291.75,31.7753676076,29.4786545522,2.2967130554,20.5304153167,15.6923569943,4.8380583224
2303.15,34.8161935609,30.546162354,4.270031207,24.6674628486,19.2823993361,5.3850635126
2319.1,38.0742059909,32.0517710814,6.0224349095,28.4720853029,22.9582737228,5.5138115801
2312.3,39.6504356042,33.5715039859,6.0789316183,28.6678914871,25.2421208285,3.4257706586
2318.05,40.8922059781,35.0356443844,5.8565615937,28.4390833758,26.5209058474,1.9181775284
2353.65,44.2389809892,36.8763117053,7.3626692839,32.2239321495,28.8021163683,3.4218157813
2357,46.624186699,38.8258867041,7.7982999949,33.7044953927,30.763067978,2.9414274146
